16,11,25,12,5,30,13,13,5,24,5,6,8,24,30,16,12,9,31,14,25,5,5,22,10,10,6,7,25,20,29,24,23,21,28,10,19,28,18,28,15,30,13,16,21,5,31,31,11,14,3,1,23,21,3,1,12,11,28,16,18,26,7,31,21,28,22,18,24,9,28,24,19,25,13,24,20,1,31,2,16,2,1,19,5,1,30,11,16,5,11,17,18,28,27,28,26,26,2,11
2,25,5,20,15,17,29,20,10,23,16,17,24,28,27,25,5,28,18,1,13,16,6,22,4,26,7,17,13,14,14,17,13,15,16,1,17,30,15,20,28,9,8,20,6,11,8,18,3,19,2,2,31,6,7,7,31,27,16,27,20,3,6,7,23,27,21,19,21,13,5,4,19,14,9,25,30,1,18,9,28,21,16,22,16,25,25,24,19,21,18,29,31,4,8,8,13,22,27,29
17,18,23,30,14,14,15,17,29,26,13,27,5,20,5,9,6,28,9,2,28,9,30,27,12,24,28,27,10,22,14,6,19,16,12,8,5,15,12,1,13,24,17,4,3,11,4,16,20,3,24,8,19,28,19,14,30,6,10,23,15,7,21,29,9,22,13,23,31,20,7,28,27,29,10,12,6,25,21,17,6,31,5,6,2,17,14,15,23,19,18,21,6,9,14,30,20,11,17,16
10,26,24,9,19,10,29,7,20,24,19,10,26,23,21,30,28,25,5,13,14,19,10,18,7,5,15,7,12,17,1,29,14,2,28,21,18,9,24,31,2,29,10,5,29,29,25,8,12,8,11,4,16,8,23,18,28,7,24,20,5,31,6,21,19,28,15,8,4,29,20,3,15,3,19,10,29,4,30,25,26,7,16,21,10,2,3,16,5,10,3,5,5,2,12,1,30,2,31,23
27,3,28,8,4,15,16,18,1,4,9,6,3,15,2,31,30,29,5,31,15,8,8,18,20,3,6,23,23,21,16,7,4,3,8,31,5,29,15,12,10,19,22,10,18,28,2,7,28,19,3,20,17,12,28,12,14,17,30,3,24,18,4,24,12,15,13,23,27,13,25,25,28,31,22,15,18,22,7,19,6,3,18,24,10,16,29,15,19,21,19,2,6,5,22,18,26,4,28,21
1,6,14,29,19,25,29,27,10,12,19,3,31,24,5,3,17,1,9,17,14,30,21,17,25,17,23,27,6,25,30,1,11,11,6,8,9,16,22,13,10,29,19,3,13,25,30,16,14,17,29,15,19,10,19,21,24,3,21,4,25,19,12,12,25,12,15,23,18,23,8,27,16,23,27,9,6,25,31,10,4,12,20,13,30,14,12,14,7,13,15,1,3,3,30,28,26,9,6,26
7,20,6,29,5,6,22,1,6,1,19,30,21,1,6,11,1,30,14,29,15,2,1,27,14,24,28,15,16,20,9,19,17,11,21,20,17,28,29,16,15,2,8,13,4,3,25,23,28,29,2,4,24,31,27,19,29,8,16,18,10,30,13,15,3,3,1,16,4,31,12,14,20,18,7,5,22,25,6,14,1,23,7,13,7,16,24,6,2,7,21,7,23,6,7,6,30,26,11,8
28,2,10,10,4,1,22,4,9,1,4,8,9,6,21,9,13,3,13,11,22,6,3,14,20,26,25,15,4,16,24,19,4,31,8,31,26,7,26,18,16,18,2,9,18,14,30,31,7,21,3,14,19,6,21,24,12,20,14,15,16,4,3,4,31,31,14,28,31,14,11,19,18,5,16,13,21,22,30,27,1,19,11,22,16,21,25,9,2,8,25,17,14,24,24,14,6,28,2,24
7,24,10,3,14,22,1,25,1,1,3,20,27,3,27,7,4,9,14,10,3,20,10,12,9,23,27,30,5,16,4,15,3,24,5,16,23,4,2,30,22,1,1,20,4,13,24,11,25,16,18,28,23,4,25,6,4,4,6,17,8,28,22,28,25,27,4,25,27,20,15,11,23,26,14,9,11,30,30,20,30,14,11,8,14,16,25,28,30,12,6,5,16,28,17,11,21,14,14,13
10,19,14,25,9,19,17,1,26,6,1,7,1,6,27,24,30,16,20,28,23,10,7,19,15,28,17,20,30,4,24,19,9,21,9,10,16,4,30,27,12,5,6,7,8,13,19,7,27,20,14,18,14,22,17,16,17,19,14,2,6,28,17,14,1,1,2,16,2,28,6,24,17,23,8,8,17,10,6,9,28,29,20,30,26,23,19,28,17,2,30,3,19,17,24,18,23,31,14,2
