0.0037100000,0.0000100000,0.0425000000
0.0002900000,0.0000000000,0.0175000000
0.0014100000,0.0000000000,0.0300000000
0.0000300000,0.0000000000,0.0078100000
0.0002900000,0.0000000000,0.0175000000
0.0025200000,0.0000000000,0.0369000000
0.0009400000,0.0000000000,0.0256000000
0.0014100000,0.0000000000,0.0300000000
1.0000000000,1.0000000000,0.9000000000
0.0000000000,0.0000000000,0.0000000000
1.0000000000,1.0000000000,0.9000000000
0.9996500000,0.9999000000,0.9000000000
0.9997000000,1.0000000000,0.9000000000
0.0000300000,0.0000000000,0.0078100000
0.9915000000,0.9935250000,0.7680000000
0.9582500000,0.9557500000,0.6560000000
0.0000100000,0.0000000000,0.0027600000
0.8911500000,0.8883750000,0.5600000000
0.0000000000,0.0000000000,0.0009770000
0.8221750000,0.8217000000,0.5000000000
