10,5,0,9,1,7,13,1,0,4,1,6,2,12,3,1,12,11,4,13,2,11,4,9,1,8,3,10,0,13,7,5,3,2,7,10,1,2,5,10,12,14,2,4,13,11,5,11,14,2,3,6,12,3,8,5,1,7,8,13,2,2,1,0,11,6,12,4,9,2,10,7,3,4,2,2,8,9,6,14,6,8,13,12,0,4,11,2,5,8,8,5,6,11,12,3,10,1,9,7
7,0,4,9,6,1,1,4,10,12,1,9,0,12,10,9,7,2,13,11,11,5,5,0,11,4,2,8,5,13,14,6,12,9,11,7,13,0,12,2,11,0,9,13,8,3,3,13,14,12,6,7,11,9,14,6,0,3,8,0,7,5,10,5,4,2,14,6,2,1,13,7,0,2,2,12,6,4,6,6,10,11,9,2,7,12,13,1,3,14,6,10,0,6,8,11,6,5,0,4
7,8,11,14,8,3,14,12,1,12,5,11,9,1,0,1,11,11,7,4,7,8,9,4,2,1,4,9,12,12,7,1,13,8,1,8,14,10,4,13,11,14,10,11,1,8,3,14,14,7,3,4,11,4,10,3,8,0,11,3,8,5,14,5,1,8,5,5,12,2,3,13,2,5,2,7,10,9,8,12,6,1,10,0,10,4,2,14,2,12,7,1,3,0,0,9,0,8,4,7
1,7,14,8,5,6,2,1,9,14,3,4,10,10,6,14,13,7,4,10,9,2,12,9,6,10,14,12,5,3,14,11,4,12,0,12,14,2,4,3,14,8,11,4,3,3,9,1,1,14,6,10,7,11,10,11,9,10,13,0,2,8,9,4,0,14,1,4,6,9,13,0,11,8,10,8,1,4,12,13,14,6,12,0,1,11,11,4,8,0,13,10,3,5,3,2,1,1,1,10
14,3,8,5,5,9,14,5,2,0,5,12,1,13,8,3,13,8,11,4,14,1,11,8,12,7,7,5,14,4,7,8,10,4,9,11,9,9,11,1,6,5,5,9,13,0,13,7,6,14,6,6,8,4,8,8,8,2,11,10,4,0,10,12,9,9,2,6,4,12,3,7,14,9,6,3,8,11,0,10,5,1,7,2,3,8,2,14,3,9,2,4,7,7,8,10,8,13,9,12
5,0,11,10,11,10,8,1,9,9,3,11,1,6,14,9,3,3,11,13,4,2,5,4,5,2,3,11,9,11,7,9,5,2,0,7,1,11,7,1,11,8,3,11,6,11,0,12,4,6,3,6,9,0,8,5,13,4,14,13,10,8,4,6,6,5,8,3,11,7,12,9,5,8,1,11,12,11,2,5,5,9,6,2,4,8,0,9,4,5,6,8,3,12,7,6,6,9,0,4
9,12,10,6,7,14,3,2,7,0,5,12,8,1,3,12,8,1,0,4,1,12,2,14,1,1,6,2,5,10,11,11,4,6,2,4,1,8,3,11,6,4,5,12,9,0,11,9,2,5,2,11,1,4,13,10,9,3,2,8,8,13,6,12,13,3,2,0,11,2,12,11,14,4,10,7,6,14,14,6,13,10,12,9,2,10,1,13,0,1,0,2,5,4,2,6,13,13,10,4
9,13,7,9,13,1,11,15,11,2,15,8,10,7,8,4,9,10,7,11,1,4,11,5,2,14,7,1,9,13,8,13,13,2,14,8,8,3,0,3,10,7,14,4,15,8,13,14,6,5,6,6,1,11,15,14,3,5,13,11,15,6,9,10,12,1,13,0,10,2,8,2,14,14,7,13,2,4,3,0,15,4,2,7,15,15,4,12,9,2,7,8,9,9,15,0,5,13,5,0
15,7,14,6,6,14,6,3,1,2,7,7,1,14,11,7,11,13,10,2,7,11,4,4,15,6,4,7,6,6,9,6,14,0,9,10,11,12,5,2,2,14,10,1,3,10,7,2,5,14,6,12,5,0,13,9,13,1,6,12,6,12,8,3,4,13,12,11,4,0,13,10,14,2,9,13,11,7,7,2,15,5,10,8,1,1,13,0,10,5,12,1,14,9,4,1,9,2,14,0
3,5,11,0,0,8,1,0,8,2,7,8,8,3,0,4,5,0,6,10,5,10,7,13,7,5,5,1,11,8,12,6,3,14,8,15,14,9,2,9,15,11,9,0,15,1,0,4,13,6,9,1,7,0,6,1,4,10,12,6,13,10,3,15,11,4,15,6,4,3,6,7,3,12,11,8,13,3,12,6,14,3,1,7,1,13,6,7,7,10,9,14,12,5,7,15,12,7,9,11
4,3,11,13,13,11,9,4,10,14,10,9,7,5,2,10,3,11,9,13,12,4,6,7,5,10,8,9,7,11,11,1,12,6,3,11,4,5,2,14,1,14,1,10,15,4,4,13,11,5,3,10,1,11,15,4,7,12,0,9,4,5,4,2,9,12,6,8,2,2,1,10,10,2,1,13,13,3,15,4,3,10,1,5,2,2,2,13,5,13,4,8,4,6,11,7,9,12,11,15
